ensembl_gene_id	Gene.Symbol.x	glia.brain_logFC.x	P.Value	Gene.Symbol.y	glia.brain_logFC.y
ENSG00000135838	NPL	3.649935325	7.83e-29	NPL	3.65
ENSG00000135842	FAM129A	4.829955579	4.13e-21	FAM129A	4.83
ENSG00000135899	SP110	4.267381158	1.92e-31	SP110	4.27
ENSG00000135905	DOCK10	2.358379046	3.84e-24	DOCK10	2.36
ENSG00000135916	ITM2C	-2.749676608	1.86e-24	ITM2C	-2.75
ENSG00000135932	CAB39	-0.164013724	0.022751877	CAB39	-0.16
ENSG00000136044	APPL2	2.284465244	2.94e-30	APPL2	2.28
ENSG00000136051	KIAA1033	1.761061018	3.43e-35	KIAA1033	1.76
ENSG00000136111	TBC1D4	1.425995939	1.96e-18	TBC1D4	1.43
ENSG00000136156	ITM2B	1.403677612	4.29e-23	ITM2B	1.4
ENSG00000136161	RCBTB2	2.452361537	3.15e-31	RCBTB2	2.45
ENSG00000136167	LCP1	5.183726489	8.67e-30	LCP1	5.18
ENSG00000136205	TNS3	1.343256481	6.22e-22	TNS3	1.34
ENSG00000136238	RAC1	0.493694276	4.01e-06	RAC1	0.49
ENSG00000136244	IL6	3.54056159	2.25e-09	IL6	3.54
ENSG00000136250	AOAH	5.619838382	3.87e-39	AOAH	5.62
ENSG00000136286	MYO1G	5.989409941	5.76e-13	MYO1G	5.99
ENSG00000136305	CIDEB	4.381457154	6.04e-26	CIDEB	4.38
ENSG00000136404	TM6SF1	2.692075672	5.67e-32	TM6SF1	2.69
ENSG00000136450	SRSF1	0.378882051	8.79e-06	SRSF1	0.38
ENSG00000136527	TRA2B	1.680652677	2.45e-21	TRA2B	1.68
ENSG00000136536	March7	1.030382712	3.82e-24	MARCH7	1.03
ENSG00000136603	SKIL	1.388342112	1.39e-19	SKIL	1.39
ENSG00000136630	HLX	5.089133046	1.42e-17	HLX	5.09
ENSG00000136634	IL10	5.326261958	1.48e-20	IL10	5.33
ENSG00000136689	IL1RN	4.740097308	3.48e-14	IL1RN	4.74
ENSG00000136717	BIN1	2.167965461	1.64e-19	BIN1	2.17
ENSG00000136732	GYPC	4.011180211	2.99e-27	GYPC	4.01
ENSG00000136754	ABI1	0.496579067	9.84e-09	ABI1	0.5
ENSG00000136807	CDK9	0.920399795	5.01e-12	CDK9	0.92
ENSG00000136869	TLR4	2.125573033	2.36e-18	TLR4	2.13
ENSG00000136942	RPL35	0.285280178	0.030076068	RPL35	0.29
ENSG00000136997	MYC	3.411176028	7.52e-15	MYC	3.41
ENSG00000137076	TLN1	2.748395445	4.32e-33	TLN1	2.75
ENSG00000137154	RPS6	1.016291517	4.09e-12	RPS6	1.02
ENSG00000137161	CNPY3	3.323174875	9.3e-36	CNPY3	3.32
ENSG00000137193	PIM1	3.196198457	2.04e-14	PIM1	3.2
ENSG00000137312	FLOT1	0.467446129	1.55e-06	FLOT1	0.47
ENSG00000137331	IER3	4.843271806	1.41e-19	IER3	4.84
ENSG00000137409	MTCH1	-1.314885402	1.39e-17	MTCH1	-1.31
ENSG00000137462	TLR2	6.104966332	2.21e-20	TLR2	6.1
ENSG00000137474	MYO7A	4.662825308	9.24e-28	MYO7A	4.66
ENSG00000137478	FCHSD2	2.198150843	7.38e-31	FCHSD2	2.2
ENSG00000137491	SLCO2B1	5.498496124	1.08e-37	SLCO2B1	5.5
ENSG00000137497	NUMA1	1.46521851	4.74e-27	NUMA1	1.47
ENSG00000137575	SDCBP	0.581193159	3.93e-06	SDCBP	0.58
ENSG00000137642	SORL1	2.074251057	1.35e-32	SORL1	2.07
ENSG00000137752	CASP1	5.795674375	1.24e-27	CASP1	5.8
ENSG00000137757	CASP5	4.488372693	8.84e-16	CASP5	4.49
ENSG00000137767	SQRDL	3.551042312	2.4e-29	SQRDL	3.55
ENSG00000137818	RPLP1	1.289520551	1.19e-13	RPLP1	1.29
ENSG00000137841	PLCB2	6.244997392	3.85e-40	PLCB2	6.24
ENSG00000137857	DUOX1	3.571973011	1.04e-13	DUOX1	3.57
ENSG00000137869	CYP19A1	3.754647389	9.11e-13	CYP19A1	3.75
ENSG00000137965	IFI44	3.135356342	5.17e-16	IFI44	3.14
ENSG00000138069	RAB1A	-0.153760475	0.009848392	RAB1A	-0.15
ENSG00000138071	ACTR2	-0.217345735	0.008019122	ACTR2	-0.22
ENSG00000138081	FBXO11	0.169429823	0.010328611	FBXO11	0.17
ENSG00000138119	MYOF	4.934939338	1.08e-36	MYOF	4.93
ENSG00000138135	CH25H	5.348124224	3.71e-11	CH25H	5.35
ENSG00000138180	CEP55	3.37462164	2.12e-11	CEP55	3.37
ENSG00000138185	ENTPD1	4.295118591	1.92e-43	ENTPD1	4.3
ENSG00000138246	DNAJC13	1.444205005	3.1e-28	DNAJC13	1.44
ENSG00000138326	RPS24	0.732841273	1.92e-09	RPS24	0.73
ENSG00000138448	ITGAV	0.059255482	0.672032361	ITGAV	0.06
ENSG00000138496	PARP9	3.336427008	6.83e-27	PARP9	3.34
ENSG00000138639	ARHGAP24	4.414408592	2.55e-33	ARHGAP24	4.41
ENSG00000138688	KIAA1109	-0.394256871	4.36e-07	KIAA1109	-0.39
ENSG00000138722	MMRN1	5.405380055	8.08e-18	MMRN1	5.41
ENSG00000138756	BMP2K	3.101216896	1.26e-34	BMP2K	3.1
ENSG00000138834	MAPK8IP3	-0.476278222	1.1e-07	MAPK8IP3	-0.48
ENSG00000138964	PARVG	6.512707849	1.16e-32	PARVG	6.51
ENSG00000139055	ERP27	4.782283778	2.91e-19	ERP27	4.78
ENSG00000139132	FGD4	2.264002006	4.48e-28	FGD4	2.26
ENSG00000139146	FAM60A	4.11069411	2.06e-29	FAM60A	4.11
ENSG00000139218	SCAF11	1.752801416	6.22e-32	SCAF11	1.75
ENSG00000139278	GLIPR1	2.409775666	2.92e-25	GLIPR1	2.41
ENSG00000139572	GPR84	5.715293441	4.29e-23	GPR84	5.72
ENSG00000139618	BRCA2	3.738699528	2.69e-21	BRCA2	3.74
ENSG00000139626	ITGB7	4.518592022	9.7e-17	ITGB7	4.52
ENSG00000139641	ESYT1	1.021110938	7.26e-15	ESYT1	1.02
ENSG00000139644	TMBIM6	0.31699146	0.005044398	TMBIM6	0.32
ENSG00000139679	LPAR6	5.3321261	5.14e-38	LPAR6	5.33
ENSG00000139687	RB1	1.789575329	1.66e-29	RB1	1.79
ENSG00000139832	RAB20	4.125736003	2.54e-17	RAB20	4.13
ENSG00000140030	GPR65	5.349591067	4.57e-24	GPR65	5.35
ENSG00000140262	TCF12	1.404969605	5.66e-24	TCF12	1.4
ENSG00000140279	DUOX2	3.463903536	4.43e-17	DUOX2	3.46
ENSG00000140319	SRP14	-0.737147708	2.7e-10	SRP14	-0.74
ENSG00000140368	PSTPIP1	3.948114057	8.66e-12	PSTPIP1	3.95
ENSG00000140379	BCL2A1	5.359498172	5.03e-16	BCL2A1	5.36
ENSG00000140497	SCAMP2	3.562381987	3.3e-38	SCAMP2	3.56
ENSG00000140548	ZNF710	3.39264034	3.8e-31	ZNF710	3.39
ENSG00000140678	ITGAX	6.528543172	1.55e-31	ITGAX	6.53
ENSG00000140749	IGSF6	5.197938184	1.09e-26	IGSF6	5.2
ENSG00000140836	ZFHX3	4.127754222	6.07e-41	ZFHX3	4.13
ENSG00000140853	NLRC5	4.598602169	9.29e-24	NLRC5	4.6
ENSG00000140931	CMTM3	4.237821028	8.99e-28	CMTM3	4.24
ENSG00000140968	IRF8	6.371294483	2.36e-29	IRF8	6.37
ENSG00000140988	RPS2	1.070369662	1.24e-10	RPS2	1.07
ENSG00000141298	SSH2	2.824892064	2.76e-30	SSH2	2.82
ENSG00000141367	CLTC	-1.435785456	1.55e-30	CLTC	-1.44
ENSG00000141480	ARRB2	3.508424563	2.02e-41	ARRB2	3.51
ENSG00000141497	ZMYND15	5.266183973	3.44e-28	ZMYND15	5.27
ENSG00000141503	MINK1	0.538616481	2.47e-05	MINK1	0.54
ENSG00000141506	PIK3R5	6.704018544	6.98e-39	PIK3R5	6.7
ENSG00000141522	ARHGDIA	0.347891132	0.000818884	ARHGDIA	0.35
ENSG00000141524	TMC6	3.418881156	1.38e-29	TMC6	3.42
ENSG00000141526	SLC16A3	5.669818573	1.79e-27	SLC16A3	5.67
ENSG00000141682	PMAIP1	3.834508556	6.55e-15	PMAIP1	3.83
ENSG00000141748	ARL5C	3.746696064	4.9e-17	ARL5C	3.75
ENSG00000141968	VAV1	6.272117399	3.38e-40	VAV1	6.27
ENSG00000142102	PGGHG	4.712154834	1.23e-24	PGGHG	4.71
ENSG00000142185	TRPM2	2.828081445	9.06e-34	TRPM2	2.83
ENSG00000142303	ADAMTS10	2.535882346	2.34e-21	ADAMTS10	2.54
ENSG00000142347	MYO1F	6.163007349	1.53e-40	MYO1F	6.16
ENSG00000142512	SIGLEC10	5.625406849	2.36e-23	SIGLEC10	5.63
ENSG00000142534	RPS11	0.756151005	1.55e-08	RPS11	0.76
ENSG00000142541	RPL13A	0.705890131	2.01e-08	RPL13A	0.71
ENSG00000142552	RCN3	4.620432156	1.45e-23	RCN3	4.62
ENSG00000142583	SLC2A5	6.06710409	2.95e-29	SLC2A5	6.07
ENSG00000142623	PADI1	4.450655947	5.55e-13	PADI1	4.45
ENSG00000142634	EFHD2	0.727346439	3.69e-08	EFHD2	0.73
ENSG00000142676	RPL11	0.836322538	6.79e-10	RPL11	0.84
ENSG00000142937	RPS8	0.783954267	4.19e-08	RPS8	0.78
ENSG00000142961	MOB3C	3.600737592	1.62e-24	MOB3C	3.6
ENSG00000143079	CTTNBP2NL	2.740986539	3.94e-34	CTTNBP2NL	2.74
ENSG00000143110	C1orf162	3.622092126	1.45e-14	C1orf162	3.62
ENSG00000143119	CD53	4.982586204	1.79e-38	CD53	4.98
ENSG00000143162	CREG1	2.367420707	3.95e-25	CREG1	2.37
ENSG00000143178	TBX19	3.813141012	6.14e-26	TBX19	3.81
ENSG00000143226	FCGR2A	6.113295521	3e-27	FCGR2A	6.11
ENSG00000143333	RGS16	4.719291607	2.86e-15	RGS16	4.72
ENSG00000143382	ADAMTSL4	4.223953954	2.08e-22	ADAMTSL4	4.22
ENSG00000143384	MCL1	1.928952521	1.6e-18	MCL1	1.93
ENSG00000143412	ANXA9	4.208813516	1.57e-17	ANXA9	4.21
ENSG00000143546	S100A8	3.65078873	4.96e-07	S100A8	3.65
ENSG00000143549	TPM3	0.938046204	1.53e-16	TPM3	0.94
ENSG00000143641	GALNT2	2.048341271	3.38e-25	GALNT2	2.05
ENSG00000143702	CEP170	0.990795479	2.17e-22	CEP170	0.99
ENSG00000143753	DEGS1	0.580750418	1.41e-08	DEGS1	0.58
ENSG00000143761	ARF1	-0.712900577	6.04e-11	ARF1	-0.71
ENSG00000143851	PTPN7	5.499740607	4.5e-17	PTPN7	5.5
ENSG00000143870	PDIA6	1.069853501	2.97e-09	PDIA6	1.07
ENSG00000143878	RHOB	-0.108785172	0.546777159	RHOB	-0.11
ENSG00000143924	EML4	2.870200635	6.51e-34	EML4	2.87
ENSG00000143933	CALM2	-1.953222995	2.08e-38	CALM2	-1.95
ENSG00000143947	RPS27A	0.262268422	0.023324385	RPS27A	0.26
ENSG00000144224	UBXN4	0.216339506	0.000801209	UBXN4	0.22
ENSG00000144381	HSPD1	0.234024424	0.094926328	HSPD1	0.23
ENSG00000144648	ACKR2	3.594868261	1.05e-21	ACKR2	3.59
ENSG00000144674	GOLGA4	1.055220172	3.76e-13	GOLGA4	1.06
ENSG00000144713	RPL32	0.153208568	0.187046792	RPL32	0.15
ENSG00000144746	ARL6IP5	-0.172430864	0.044921822	ARL6IP5	-0.17
ENSG00000144802	NFKBIZ	3.837078641	8.56e-24	NFKBIZ	3.84
ENSG00000144843	ADPRH	4.01103768	7.12e-28	ADPRH	4.01
ENSG00000145103	ILDR1	4.065272932	2.09e-21	ILDR1	4.07
ENSG00000145287	PLAC8	5.269442263	6.73e-11	PLAC8	5.27
ENSG00000145390	USP53	2.464447404	1.25e-17	USP53	2.46
ENSG00000145425	RPS3A	0.528409871	5.39e-06	RPS3A	0.53
ENSG00000145569	FAM105A	4.696772296	1.87e-36	FAM105A	4.7
ENSG00000145675	PIK3R1	-0.938076481	2.38e-17	PIK3R1	-0.94
ENSG00000145685	LHFPL2	4.621174261	6.05e-35	LHFPL2	4.62
ENSG00000145741	BTF3	-0.093447374	0.401874265	BTF3	-0.09
ENSG00000145779	TNFAIP8	3.749204304	3.97e-23	TNFAIP8	3.75
ENSG00000145819	ARHGAP26	0.79155397	2.1e-12	ARHGAP26	0.79
ENSG00000145850	TIMD4	4.783979296	1.81e-20	TIMD4	4.78
ENSG00000145936	KCNMB1	5.096659701	1.03e-27	KCNMB1	5.1
ENSG00000146090	RASGEF1C	3.664972268	7.03e-15	RASGEF1C	3.66
ENSG00000146094	DOK3	4.267427768	8.08e-27	DOK3	4.27
ENSG00000146112	PPP1R18	4.338483049	4.55e-38	PPP1R18	4.34
ENSG00000146192	FGD2	6.510325105	2e-37	FGD2	6.51
ENSG00000146278	PNRC1	1.199581658	3.3e-16	PNRC1	1.2
ENSG00000147010	SH3KBP1	1.530405935	4.35e-28	SH3KBP1	1.53
ENSG00000147065	MSN	2.859995071	6.86e-26	MSN	2.86
ENSG00000147140	NONO	0.728702602	5.6e-16	NONO	0.73
ENSG00000147162	OGT	0.166908647	0.03100515	OGT	0.17
ENSG00000147168	IL2RG	4.912851149	1.68e-21	IL2RG	4.91
ENSG00000147202	DIAPH2	2.823024595	2.14e-35	DIAPH2	2.82
ENSG00000147206	NXF3	3.895822677	8.07e-13	NXF3	3.9
ENSG00000147251	DOCK11	3.578099683	2.42e-40	DOCK11	3.58
ENSG00000147274	RBMX	0.85083611	2.59e-16	RBMX	0.85
ENSG00000147403	RPL10	0.723749362	1.07e-08	RPL10	0.72
ENSG00000147416	ATP6V1B2	-0.681464415	2.87e-10	ATP6V1B2	-0.68
ENSG00000147454	SLC25A37	2.763591358	4.34e-25	SLC25A37	2.76
ENSG00000147526	TACC1	0.009953609	0.826175047	TACC1	0.01
ENSG00000147604	RPL7	0.034627	0.756488998	RPL7	0.03
ENSG00000147649	MTDH	0.768436629	1.47e-15	MTDH	0.77
ENSG00000147889	CDKN2A	3.738010397	3.19e-20	CDKN2A	3.74
ENSG00000148175	STOM	1.697015515	1.28e-14	STOM	1.7
ENSG00000148180	GSN	1.803256777	7.51e-17	GSN	1.8
ENSG00000148248	SURF4	0.484051322	9.84e-06	SURF4	0.48
ENSG00000148288	GBGT1	3.887099426	1.17e-33	GBGT1	3.89
ENSG00000148303	RPL7A	0.250586142	0.008674002	RPL7A	0.25
ENSG00000148346	LCN2	3.688428069	6.41e-06	LCN2	3.69
ENSG00000148483	TMEM236	4.992838532	2.28e-15	TMEM236	4.99
ENSG00000148655	C10orf11	4.469015708	7.86e-34	C10orf11	4.47
ENSG00000148803	FUOM	3.787772644	4.35e-24	FUOM	3.79
ENSG00000148841	ITPRIP	4.714611689	1.59e-30	ITPRIP	4.71
ENSG00000148908	RGS10	5.162948178	7.61e-36	RGS10	5.16
ENSG00000149177	PTPRJ	2.25957065	3.76e-34	PTPRJ	2.26
ENSG00000149273	RPS3	1.024012562	1.01e-14	RPS3	1.02
ENSG00000149311	ATM	2.640628311	2.1e-36	ATM	2.64
ENSG00000149418	ST14	3.653609732	4.88e-13	ST14	3.65
ENSG00000149781	FERMT3	5.339507445	3.67e-37	FERMT3	5.34
ENSG00000149806	FAU	0.280955648	0.017761649	FAU	0.28
ENSG00000149925	ALDOA	-2.099529309	1.92e-28	ALDOA	-2.1
ENSG00000150093	ITGB1	1.218508397	2.66e-17	ITGB1	1.22
ENSG00000150337	FCGR1A	6.180493202	1.09e-22	FCGR1A	6.18
ENSG00000150637	CD226	3.357950284	1.3e-23	CD226	3.36
ENSG00000150681	RGS18	5.212066687	9.02e-27	RGS18	5.21
ENSG00000150782	IL18	6.18821	2.26e-24	IL18	6.19
ENSG00000150991	UBC	0.2685395	0.023863403	UBC	0.27
ENSG00000151062	CACNA2D4	4.301428416	4.01e-25	CACNA2D4	4.3
ENSG00000151474	FRMD4A	2.863061562	1.36e-36	FRMD4A	2.86
ENSG00000151650	VENTX	6.318016634	7.33e-17	VENTX	6.32
ENSG00000151702	FLI1	4.229653675	2.28e-37	FLI1	4.23
ENSG00000151726	ACSL1	2.239821108	2.66e-12	ACSL1	2.24
ENSG00000152213	ARL11	5.946440735	1.35e-30	ARL11	5.95
ENSG00000152229	PSTPIP2	4.955880325	6.07e-18	PSTPIP2	4.96
ENSG00000152291	TGOLN2	0.967621188	1.04e-19	TGOLN2	0.97
ENSG00000152315	KCNK13	4.126462532	8.2e-23	KCNK13	4.13
ENSG00000152518	ZFP36L2	4.322423788	2.99e-37	ZFP36L2	4.32
ENSG00000152580	IGSF10	4.361134833	1.29e-21	IGSF10	4.36
ENSG00000152601	MBNL1	0.998582873	5.89e-28	MBNL1	1
ENSG00000152766	ANKRD22	4.945886187	1.51e-10	ANKRD22	4.95
ENSG00000152795	HNRNPDL	0.498228454	1.22e-06	HNRNPDL	0.5
ENSG00000152804	HHEX	5.150499182	1.25e-28	HHEX	5.15
ENSG00000152818	UTRN	1.535090776	1.39e-17	UTRN	1.54
ENSG00000153071	DAB2	3.735067965	3.78e-33	DAB2	3.74
ENSG00000153187	HNRNPU	0.461308175	4.85e-09	HNRNPU	0.46
ENSG00000153201	RANBP2	-0.144791091	0.023013001	RANBP2	-0.14
ENSG00000153208	MERTK	3.740970304	1.13e-29	MERTK	3.74
ENSG00000153310	FAM49B	1.273726128	2.51e-23	FAM49B	1.27
ENSG00000153551	CMTM7	5.905570171	4.1e-36	CMTM7	5.91
ENSG00000153827	TRIP12	-0.065508864	0.19324656	TRIP12	-0.07
ENSG00000153922	CHD1	2.105161046	7.45e-31	CHD1	2.11
ENSG00000154016	GRAP	3.566076042	1.25e-28	GRAP	3.57
ENSG00000154330	PGM5	3.919017062	2.22e-32	PGM5	3.92
ENSG00000154451	GBP5	4.098845168	5.29e-18	GBP5	4.1
ENSG00000154589	LY96	3.591900974	7.65e-21	LY96	3.59
ENSG00000154760	SLFN13	3.496750644	4.83e-21	SLFN13	3.5
ENSG00000155307	SAMSN1	5.567439884	3.96e-31	SAMSN1	5.57
ENSG00000155465	SLC7A7	5.619791239	1.84e-32	SLC7A7	5.62
ENSG00000155629	PIK3AP1	5.538776534	9.62e-36	PIK3AP1	5.54
ENSG00000155659	VSIG4	5.808736885	4.54e-20	VSIG4	5.81
ENSG00000155660	PDIA4	1.974175179	6.13e-17	PDIA4	1.97
ENSG00000155849	ELMO1	1.670535905	5.11e-21	ELMO1	1.67
ENSG00000155926	SLA	5.066364409	2.06e-24	SLA	5.07
ENSG00000156052	GNAQ	-0.828485981	1.93e-18	GNAQ	-0.83
ENSG00000156127	BATF	4.420095901	8.05e-22	BATF	4.42
ENSG00000156261	CCT8	0.059882313	0.479975508	CCT8	0.06
ENSG00000156273	BACH1	2.250402173	2.35e-28	BACH1	2.25
ENSG00000156299	TIAM1	1.232741439	2.61e-14	TIAM1	1.23
ENSG00000156482	RPL30	0.414519203	0.000458039	RPL30	0.41
ENSG00000156508	EEF1A1	0.255046122	0.022335873	EEF1A1	0.26
ENSG00000156869	FRRS1	3.500114056	1.58e-06	FRRS1	3.5
ENSG00000156976	EIF4A2	-0.914757896	4.94e-16	EIF4A2	-0.91
ENSG00000157017	GHRL	4.989659484	1.06e-23	GHRL	4.99
ENSG00000157227	MMP14	4.71673939	7.4e-35	MMP14	4.72
ENSG00000157303	SUSD3	4.807183641	2.87e-22	SUSD3	4.81
ENSG00000157557	ETS2	0.941527835	1.24e-05	ETS2	0.94
ENSG00000157637	SLC38A10	2.66942265	8.39e-31	SLC38A10	2.67
ENSG00000157827	FMNL2	-0.054107902	0.646888032	FMNL2	-0.05
ENSG00000157933	SKI	1.798653174	6.48e-26	SKI	1.8
ENSG00000158195	WASF2	2.694316971	1.05e-28	WASF2	2.69
ENSG00000158373	HIST1H2BD	3.022810609	1.12e-19	HIST1H2BD	3.02
ENSG00000158406	HIST1H4H	-0.67576026	0.000377933	HIST1H4H	-0.68
ENSG00000158473	CD1D	4.803102207	3.19e-15	CD1D	4.8
ENSG00000158517	NCF1	5.880693369	1.69e-30	NCF1	5.88
ENSG00000158615	PPP1R15B	0.855220833	1.95e-17	PPP1R15B	0.86
ENSG00000158714	SLAMF8	4.984911121	4.05e-15	SLAMF8	4.98
ENSG00000158717	RNF166	3.908147267	1.27e-36	RNF166	3.91
ENSG00000158773	USF1	0.760180661	2.52e-10	USF1	0.76
ENSG00000158869	FCER1G	5.107736174	1.02e-24	FCER1G	5.11
ENSG00000159128	IFNGR2	2.221477257	1.79e-30	IFNGR2	2.22
ENSG00000159140	SON	0.9391886	1.59e-21	SON	0.94
ENSG00000159189	C1QC	5.228140686	3.62e-22	C1QC	5.23
ENSG00000159216	RUNX1	6.234939216	1.85e-28	RUNX1	6.23
ENSG00000159256	MORC3	0.993467009	3.52e-21	MORC3	0.99
ENSG00000159314	ARHGAP27	5.049984466	2.92e-40	ARHGAP27	5.05
ENSG00000159322	ADPGK	3.058313796	2.88e-43	ADPGK	3.06
ENSG00000159388	BTG2	3.475384312	2.73e-21	BTG2	3.48
ENSG00000159399	HK2	5.28329424	7.4e-29	HK2	5.28
ENSG00000159618	ADGRG5	6.151692861	6.16e-24	ADGRG5	6.15
ENSG00000159842	ABR	0.884132872	1.15e-12	ABR	0.88
ENSG00000159958	TNFRSF13C	5.973915122	1.02e-25	TNFRSF13C	5.97
ENSG00000160013	PTGIR	4.103648355	8.54e-16	PTGIR	4.1
ENSG00000160219	GAB3	5.623795242	8.77e-39	GAB3	5.62
ENSG00000160255	ITGB2	5.866455112	2.12e-32	ITGB2	5.87
ENSG00000160294	MCM3AP	1.534993965	3.61e-29	MCM3AP	1.53
ENSG00000160305	DIP2A	2.411906746	3.92e-29	DIP2A	2.41
ENSG00000160505	NLRP4	5.028056963	5.81e-09	NLRP4	5.03
ENSG00000160710	ADAR	-0.143172131	0.026559122	ADAR	-0.14
ENSG00000160712	IL6R	4.265894741	1.3e-35	IL6R	4.27
ENSG00000160791	CCR5	5.960447283	2.34e-21	CCR5	5.96
ENSG00000160796	NBEAL2	3.546420871	2.17e-27	NBEAL2	3.55
ENSG00000160883	HK3	5.458033705	1.03e-16	HK3	5.46
ENSG00000160888	IER2	2.512885991	2.8e-19	IER2	2.51
ENSG00000161016	RPL8	0.082691996	0.472213788	RPL8	0.08
ENSG00000161547	SRSF2	0.964369373	2.85e-13	SRSF2	0.96
ENSG00000161638	ITGA5	4.831914377	2.02e-30	ITGA5	4.83
ENSG00000161640	SIGLEC11	5.994775825	7.72e-22	SIGLEC11	5.99
ENSG00000161791	FMNL3	4.507245536	4.68e-38	FMNL3	4.51
ENSG00000161911	TREML1	6.275389429	2.22e-23	TREML1	6.28
ENSG00000161921	CXCL16	4.844334221	3.76e-32	CXCL16	4.84
ENSG00000161929	SCIMP	5.907652285	9.82e-29	SCIMP	5.91
ENSG00000161960	EIF4A1	1.606466877	6.26e-18	EIF4A1	1.61
ENSG00000161970	RPL26	0.735429607	3.71e-07	RPL26	0.74
ENSG00000162231	NXF1	2.418247285	1.01e-22	NXF1	2.42
ENSG00000162244	RPL29	0.431432902	0.001086229	RPL29	0.43
ENSG00000162302	RPS6KA4	2.052043009	2.76e-28	RPS6KA4	2.05
ENSG00000162367	TAL1	5.953724288	1.67e-28	TAL1	5.95
ENSG00000162402	USP24	0.941338804	5.38e-22	USP24	0.94
ENSG00000162434	JAK1	0.384837845	8.86e-05	JAK1	0.38
ENSG00000162493	PDPN	3.411287647	5.38e-21	PDPN	3.41
ENSG00000162496	DHRS3	2.290881355	1.5e-20	DHRS3	2.29
ENSG00000162511	LAPTM5	4.980430862	2.98e-34	LAPTM5	4.98
ENSG00000162542	TMCO4	4.044122136	2.41e-25	TMCO4	4.04
ENSG00000162613	FUBP1	0.895677639	1.19e-18	FUBP1	0.9
ENSG00000162645	GBP2	3.549281254	3.13e-17	GBP2	3.55
ENSG00000162711	NLRP3	4.90196889	2.06e-35	NLRP3	4.9
ENSG00000162734	PEA15	-1.930443437	1.5e-19	PEA15	-1.93
ENSG00000162745	OLFML2B	4.036245629	2.65e-21	OLFML2B	4.04
ENSG00000162747	FCGR3B	5.740948726	2.5e-18	FCGR3B	5.74
ENSG00000162777	DENND2D	4.196544983	5.16e-22	DENND2D	4.2
ENSG00000162783	IER5	2.526764981	7.97e-20	IER5	2.53
ENSG00000162881	OXER1	4.35502922	9.42e-18	OXER1	4.36
ENSG00000162882	HAAO	5.375481848	5.69e-29	HAAO	5.38
ENSG00000162894	FCMR	3.728731578	1.61e-16	FCMR	3.73
ENSG00000162896	PIGR	3.98668839	2.63e-14	PIGR	3.99
ENSG00000162946	DISC1	4.231775336	1.2e-38	DISC1	4.23
ENSG00000162980	ARL5A	1.121882627	4.74e-17	ARL5A	1.12
ENSG00000163106	HPGDS	5.195159038	4.47e-24	HPGDS	5.2
ENSG00000163131	CTSS	4.614948469	1.64e-31	CTSS	4.61
ENSG00000163154	TNFAIP8L2	4.957222594	6.46e-29	TNFAIP8L2	4.96
ENSG00000163162	RNF149	2.232590191	1.56e-22	RNF149	2.23
ENSG00000163191	S100A11	4.85732555	1.57e-23	S100A11	4.86
ENSG00000163219	ARHGAP25	5.066140542	1.77e-36	ARHGAP25	5.07
ENSG00000163220	S100A9	3.814806833	1.12e-06	S100A9	3.81
ENSG00000163221	S100A12	3.34955011	2.93e-06	S100A12	3.35
ENSG00000163406	SLC15A2	1.93306964	4.41e-20	SLC15A2	1.93
ENSG00000163466	ARPC2	1.330944245	5.67e-25	ARPC2	1.33
ENSG00000163513	TGFBR2	4.150699848	1.98e-34	TGFBR2	4.15
ENSG00000163545	NUAK2	3.718594081	2.53e-22	NUAK2	3.72
ENSG00000163563	MNDA	5.267657569	4.1e-25	MNDA	5.27
ENSG00000163565	IFI16	4.758500777	1.92e-37	IFI16	4.76
ENSG00000163625	WDFY3	0.348625887	5.74e-06	WDFY3	0.35
ENSG00000163660	CCNL1	2.331252077	1.1e-26	CCNL1	2.33
ENSG00000163682	RPL9	-0.277679321	0.022810682	RPL9	-0.28
ENSG00000163694	RBM47	6.008651193	4.94e-36	RBM47	6.01
ENSG00000163728	TTC14	1.197017877	4.88e-23	TTC14	1.2
ENSG00000163755	HPS3	2.622175995	3.88e-36	HPS3	2.62
ENSG00000163803	PLB1	3.504852064	3.35e-16	PLB1	3.5
ENSG00000163814	CDCP1	4.143814037	2.06e-20	CDCP1	4.14
ENSG00000163823	CCR1	5.988493514	1.3e-26	CCR1	5.99
ENSG00000163840	DTX3L	3.354676927	5.1e-30	DTX3L	3.35
ENSG00000163874	ZC3H12A	4.218847458	2.08e-22	ZC3H12A	4.22
ENSG00000163902	RPN1	0.964390256	3.76e-15	RPN1	0.96
ENSG00000163932	PRKCD	4.417303588	1.24e-35	PRKCD	4.42
ENSG00000163958	ZDHHC19	3.604694027	7.82e-13	ZDHHC19	3.6
ENSG00000164111	ANXA5	1.500662219	2.08e-16	ANXA5	1.5
ENSG00000164190	NIPBL	1.157694649	2.63e-23	NIPBL	1.16
ENSG00000164308	ERAP2	3.583532198	4.22e-18	ERAP2	3.58
ENSG00000164342	TLR3	4.406948765	1.22e-21	TLR3	4.41
ENSG00000164430	MB21D1	4.710993903	4.53e-29	MB21D1	4.71
ENSG00000164535	DAGLB	2.785806838	6.3e-32	DAGLB	2.79
ENSG00000164548	TRA2A	0.83573602	4.65e-13	TRA2A	0.84
ENSG00000164674	SYTL3	5.147215789	2.47e-27	SYTL3	5.15
ENSG00000164691	TAGAP	5.984594489	1.95e-30	TAGAP	5.98
